Encoding,Model,k,Metric,Accuracy,Precision,Recall,F1
TF-IDF,KNN,1.0,euclidean,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
TF-IDF,KNN,1.0,manhattan,,,,
TF-IDF,KNN,1.0,cosine,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
TF-IDF,KNN,1.0,euclidean,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
TF-IDF,KNN,1.0,manhattan,,,,
TF-IDF,KNN,1.0,cosine,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
TF-IDF,KNN,1.0,euclidean,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
TF-IDF,KNN,1.0,manhattan,,,,
TF-IDF,KNN,1.0,cosine,0.40064102564102566,0.3351139601139601,0.40064102564102566,0.36177884615384615
One-Hot,KNN,1.0,euclidean,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,manhattan,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,cosine,0.47435897435897434,0.38379355687047995,0.47435897435897434,0.41391941391941395
One-Hot,KNN,1.0,euclidean,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,manhattan,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,cosine,0.47435897435897434,0.38379355687047995,0.47435897435897434,0.41391941391941395
One-Hot,KNN,1.0,euclidean,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,manhattan,0.391025641025641,0.484803657880581,0.391025641025641,0.31429334554334554
One-Hot,KNN,1.0,cosine,0.47435897435897434,0.38379355687047995,0.47435897435897434,0.41391941391941395
TF-IDF,,,,0.2,,,0.13999999999999999
One-Hot,,,,0.6,,,0.45
